ts,asset,tf,direction,k_last,d_last,bull_stoch,bear_stoch,ema7_last,ema2_last,ema_align_up,ema_align_down,ema_cross_up_win,ema_cross_dn_win,trend_up,trend_down,adx14,atr14,rsi14,htf_up,htf_down,ticks_ok,near_res,near_sup,buy_score,sell_score,has_signal,result
2025-08-10T19:43:01,ADAUSD_otc,60,none,41.45320609408754,39.743661290618896,0,0,0.8135441622688462,0.813420125589622,1,0,1,0,1,0,21.58724528738977,0.000385010633013542,52.69344985949558,1,0,1,0,0,6,6,0,
2025-08-10T19:43:03,APTUSD_otc,60,none,68.6047473327268,82.87071773397584,0,0,4.969191597161129,4.965405701056017,1,0,0,0,0,1,12.675960245657231,0.024975898822403718,46.37086531186597,0,1,1,0,0,5,3,0,
2025-08-10T19:43:04,ARBUSD_otc,60,none,61.69020513722253,52.18719838703763,0,0,0.4045871387524685,0.4046438686039869,0,1,0,0,1,0,13.145233247060204,0.00048403951664491394,56.596970040440425,1,0,1,0,0,5,3,0,
2025-08-10T19:43:05,ATOUSD_otc,60,none,37.12731529298359,44.13498371004977,0,0,5.994509745893471,5.991136022188558,1,0,0,0,0,1,12.874002137036403,0.022840153644309587,42.84036615192255,1,0,1,0,0,4,4,0,
2025-08-10T19:43:06,AUDCHF_otc,60,none,42.452403327417095,35.94800815224694,0,0,0.5306106362650527,0.5305832951341547,0,0,1,0,0,1,16.71733314241053,0.00035507270147409843,49.65933199291382,0,1,1,0,0,4,7,0,
2025-08-10T19:43:07,AUDNZD_otc,60,none,97.88793965936163,93.93255917222807,0,0,1.1413352479578753,1.1425082952407606,0,1,0,0,1,0,20.00304850424555,0.0011780428251533862,66.8850441713007,1,0,1,0,0,7,4,0,
2025-08-10T19:43:08,AVAUSD_otc,60,none,12.305295950156278,18.247189003897436,0,0,24.1178070808694,24.093495125000167,1,0,0,0,0,1,17.920652419760582,0.03947605941420579,35.3936242123353,1,0,1,0,0,4,5,0,
2025-08-10T19:43:09,AXSUSD_otc,60,none,63.14214655844081,70.17583249359309,0,0,2.634642018493043,2.63341790827135,1,0,1,0,0,1,15.917187469230907,0.00461334911126416,45.84339596012555,0,1,1,0,0,3,6,0,
2025-08-10T19:43:11,BCHUSD_otc,60,none,4.68343793492786,9.766288132319206,0,0,576.4903757453876,575.8693431443144,1,0,0,0,0,1,16.149640845339622,0.6628544521334101,34.17824675587228,0,1,1,0,0,3,5,0,
2025-08-10T19:43:12,BEAUSD_otc,60,none,71.16104868913847,66.25614378423363,0,0,0.008286089077692856,0.00832106401494429,0,1,0,0,1,0,19.722434568159738,3.898229456668691e-05,64.11978155855664,1,0,1,0,0,6,3,0,
2025-08-10T19:43:13,BNBUSD_otc,60,none,54.79156610545224,57.16696477152001,0,0,795.9057520220683,795.6091650404481,1,0,1,0,1,0,49.04385618224442,0.9686356042095204,59.61664412063707,1,0,1,0,0,6,6,0,
2025-08-10T19:43:14,BONUSD_otc,60,none,21.50997150997176,13.722697056030626,0,0,3.154455689307517e-05,3.152126244074334e-05,1,0,0,0,1,0,22.370567461104276,9.490195053975033e-08,50.9496884083516,1,0,1,0,0,6,4,0,
2025-08-10T19:43:15,BRLUSD_otc,60,none,84.60311984975708,80.01748363684449,0,0,0.18777583914162138,0.18825462784096458,0,1,0,0,1,0,16.298731717922106,0.0004142523896688214,67.07874263691289,1,0,1,0,0,6,3,0,
2025-08-10T19:43:16,CADJPY_otc,60,none,22.083684905131488,19.111779398013,0,0,106.86712125660799,106.8535886278287,1,0,0,0,0,1,15.751160688289783,0.051842840822193086,44.34266236207285,0,1,1,0,0,3,4,0,
2025-08-10T19:43:17,DASUSD_otc,60,none,56.73565722585329,65.42604696199409,0,0,23.329653876984416,23.313124901184512,1,0,0,0,0,1,26.540194229356153,0.034224991319641414,40.694596170842715,0,1,1,0,0,5,6,0,
2025-08-10T19:43:18,ETHUSD_otc,60,none,36.49138958724032,24.261833002828173,0,0,3897.5115377732905,3898.645723374031,0,1,0,0,1,0,29.473400090020696,1.5573631856668904,69.08465549513551,1,0,1,0,0,6,4,0,
2025-08-10T19:43:19,EURGBP_otc,60,none,34.56253354804034,19.926641617461588,0,0,0.8493791947515577,0.849454642220581,0,1,0,0,1,0,20.19970778393426,0.00036956061706812187,61.95377187407695,1,0,1,0,0,6,3,0,
2025-08-10T19:43:21,EURJPY_otc,60,none,22.454041747640503,13.274486734751543,0,0,172.05186285477333,172.0430093640964,1,0,1,0,0,1,20.76682638000721,0.027573926811661004,49.405667018345646,0,1,1,0,0,5,7,0,
2025-08-10T19:43:22,EURSGD_otc,60,none,38.675213675133136,19.230769230668127,0,0,1.4963486702281852,1.4963552531770987,0,1,0,0,1,0,18.691919505011207,1.3445971887361049e-05,58.08318806695799,0,1,1,0,0,6,3,0,
2025-08-10T19:43:23,EURUSD_otc,60,none,54.51837140019526,44.48857994041424,0,0,1.1685970827395114,1.1686180946032858,0,1,0,0,0,1,15.492475413585293,0.00041861758106966193,47.111397858074376,0,1,1,0,0,4,5,0,
2025-08-10T19:43:24,FLOUSD_otc,60,none,57.17314506574936,73.9282638482911,0,0,0.00011731190557356765,0.00011722732274748064,1,0,0,0,0,1,26.352483605536122,1.0134132367688285e-07,42.82686754277782,0,1,1,0,0,4,6,0,
2025-08-10T19:43:25,GALUSD_otc,60,none,71.61214205429376,60.143008551261936,0,0,0.1888590174640551,0.19043506415611497,0,1,0,0,1,0,14.563423260859649,0.0034994874392437823,54.10045475466457,1,0,1,0,0,4,3,0,
2025-08-10T19:43:26,GBPNZD_otc,60,none,72.79758236397392,70.4401530775008,0,0,1.8873573356399904,1.887950672751642,0,1,0,0,1,0,20.097026372243867,0.0017099061628208067,56.71185539932029,0,1,1,0,0,4,5,0,
2025-08-10T19:43:27,JNJ_otc,60,none,25.205031789488118,19.13362019817886,0,0,168.40982560190085,168.40259294525688,0,0,1,1,1,0,20.6610835589098,0.05753140474695783,53.69383404812732,0,1,1,0,0,5,8,0,
2025-08-10T19:43:28,LINUSD_otc,60,none,36.55864770150449,16.28263906938822,0,0,18.97169119547087,19.00035624559239,0,1,0,0,1,0,29.534735519685515,0.03381792236932172,72.09124667594413,1,0,1,0,0,8,3,0,
2025-08-10T19:43:29,MELUSD_otc,60,none,8.89293548372112,9.536439367350098,0,0,0.26039006810742893,0.2601406237055066,1,0,0,0,0,1,22.542465343632195,0.0005165208602851331,37.03355242422298,0,1,1,0,0,4,6,0,
2025-08-10T19:43:31,MSFT_otc,60,none,68.4210526315865,68.45711930340458,0,1,335.1571174355212,335.18099696749397,0,1,0,0,1,0,25.5448221714448,0.05077988799796329,62.447620080667264,1,0,1,0,0,6,6,0,
2025-08-10T19:43:33,NZDCAD_otc,60,none,35.218042432763006,18.654322342308834,0,0,0.8190848208890866,0.8194207201496311,0,1,0,0,1,0,19.196924801644702,0.0007200028250110888,66.77366612472524,1,0,1,0,0,5,2,0,
2025-08-10T19:43:34,NZDCHF_otc,60,none,55.7613694430244,58.533042518372305,0,0,0.48357332556151444,0.48396096590192,0,1,0,0,1,0,13.653178597291912,0.0007745132751933994,56.669670236668374,1,0,1,0,0,5,3,0,
2025-08-10T19:43:35,PEPUSD_otc,60,none,79.55555555555553,84.74418604651159,0,0,1.2574292749036715e-05,1.2617739847262047e-05,0,1,0,0,0,1,11.373138873815735,9.405632456924799e-08,51.84829031248142,0,1,1,0,0,3,5,0,
2025-08-10T19:43:36,SHIUSD_otc,60,none,45.83814102564097,26.41735347985346,0,0,1.3631714238484432e-05,1.3725825796357187e-05,0,1,0,0,1,0,42.04181676197634,1.0211203990308652e-07,75.6357359550696,1,0,1,0,0,7,4,0,
2025-08-10T19:43:37,SOLUSD_otc,60,none,81.24017595111208,89.32238715195258,0,0,182.2040719060822,182.36755345497062,0,1,0,0,1,0,19.829731463949436,0.5605806475953002,50.33726966193627,1,0,1,0,0,6,3,0,
2025-08-10T19:43:38,TIAUSD_otc,60,none,52.2598870056489,56.76062167587295,0,0,1.8406327408912637,1.8405229803713428,1,0,1,0,0,1,16.12265358232373,0.00024773389204241317,46.48423465727163,0,1,1,0,0,4,5,0,
2025-08-10T19:43:40,TONUSD_otc,60,none,50.431222524245754,61.168719308254204,0,0,3.08372910377364,3.057494515076465,1,0,0,0,0,1,24.215766525514233,0.03729939464092989,32.7179909242611,0,1,1,0,0,5,6,0,
2025-08-10T19:43:41,TRUUSD_otc,60,none,47.201005353179426,43.88979067497859,0,0,9.141656449975592,9.124398215477564,1,0,0,0,0,1,23.725387654439437,0.0509959841229553,46.32374956880206,0,1,1,0,0,4,6,0,
2025-08-10T19:43:42,USDARS_otc,60,none,78.95609413417795,89.65251851325803,0,0,1346.1601668401768,1346.165524787658,0,0,0,1,0,1,11.064857029681107,0.29403025414282025,47.59599139380981,0,1,1,0,0,4,5,0,
2025-08-10T19:43:43,USDBDT_otc,60,none,19.824488283780408,17.352884332768237,1,0,126.35892469226059,126.34547570336464,1,0,0,0,0,1,39.63422017409976,0.04852215438480938,36.756005132740206,0,1,1,0,0,7,5,0,
2025-08-10T19:43:44,USDCOP_otc,60,none,50.89841665184605,54.104647255340645,0,0,4046.6791437125694,4046.756350217555,0,0,1,1,0,1,19.617429468679898,0.3229331680914969,44.489838089637374,0,1,1,0,0,7,5,0,
