entry_ts,entry_ist,asset,direction,amount,result,delta,expiry_s,sec_in_minute,tf_hint,payout,mode
1755328244,2025-08-16 12:40:44 IST,ZECUSD_otc,call,100.0,WIN,93.0,60,44,60,93.0,live
1755328449,2025-08-16 12:44:09 IST,TRUUSD_otc,call,200.0,WIN,186.0,60,9,60,93.0,live
1755329287,2025-08-16 12:58:07 IST,APTUSD_otc,put,100.0,LOSS,-100.0,60,7,60,90.0,live
1755329561,2025-08-16 13:02:41 IST,APTUSD_otc,put,150.0,LOSS,-150.0,60,41,60,93.0,live
1755330198,2025-08-16 13:13:18 IST,USDJPY_otc,call,100.0,LOSS,-100.0,60,18,60,80.0,live
1755330540,2025-08-16 13:19:00 IST,FB_otc,call,150.0,WIN,121.5,60,0,60,81.0,live
1755330706,2025-08-16 13:21:46 IST,DOTUSD_otc,call,200.0,WIN,186.0,60,46,60,93.0,live
1755330922,2025-08-16 13:25:22 IST,USDCHF_otc,call,100.0,WIN,87.0,60,22,60,87.0,live
1755331553,2025-08-16 13:35:53 IST,BEAUSD_otc,put,100.0,LOSS,-100.0,60,53,60,93.0,live
1755331647,2025-08-16 13:37:27 IST,AUDCHF_otc,put,100.0,LOSS,-100.0,60,27,60,85.0,live
1755331797,2025-08-16 13:39:57 IST,USDNGN_otc,put,150.0,WIN,133.5,60,57,60,89.0,live
1755331850,2025-08-16 13:40:50 IST,JNJ_otc,call,100.0,LOSS,-100.0,60,50,60,87.0,live
1755332004,2025-08-16 13:43:24 IST,MANUSD_otc,put,200.0,LOSS,-200.0,60,24,60,93.0,live
1755332101,2025-08-16 13:45:01 IST,MANUSD_otc,call,100.0,WIN,93.0,60,1,60,93.0,live
1755332278,2025-08-16 13:47:58 IST,DASUSD_otc,put,100.0,WIN,93.0,60,58,60,93.0,live
1755332456,2025-08-16 13:50:56 IST,EURAUD_otc,call,100.0,WIN,90.0,60,56,60,90.0,live
1755332790,2025-08-16 13:56:30 IST,PEPUSD_otc,put,100.0,LOSS,-100.0,60,30,60,93.0,live
1755332993,2025-08-16 13:59:53 IST,USDCHF_otc,put,100.0,WIN,83.0,60,53,60,86.0,live
1755333199,2025-08-16 14:03:19 IST,GBPAUD_otc,put,150.0,WIN,127.5,60,19,60,87.0,live
1755333377,2025-08-16 14:06:17 IST,EURSGD_otc,put,200.0,DRAW,0.0,60,17,60,90.0,live
1755333715,2025-08-16 14:11:55 IST,AVAUSD_otc,put,200.0,LOSS,-200.0,60,55,60,72.0,live
1755334246,2025-08-16 14:20:46 IST,DASUSD_otc,call,100.0,WIN,85.0,60,46,60,85.0,live
1755334400,2025-08-16 14:23:20 IST,ARBUSD_otc,call,150.0,LOSS,-150.0,60,20,60,93.0,live
1755334725,2025-08-16 14:28:45 IST,AUDCAD_otc,put,100.0,LOSS,-100.0,60,45,60,90.0,live
1755334877,2025-08-16 14:31:17 IST,AXSUSD_otc,call,100.0,WIN,93.0,60,17,60,93.0,live
1755335257,2025-08-16 14:37:37 IST,USDCHF_otc,put,150.0,WIN,120.0,60,37,60,82.0,live
1755335404,2025-08-16 14:40:04 IST,ARBUSD_otc,call,200.0,LOSS,-200.0,60,4,60,93.0,live
1755335617,2025-08-16 14:43:37 IST,USDARS_otc,call,100.0,WIN,93.0,60,37,60,93.0,live
1755335986,2025-08-16 14:49:46 IST,NZDCAD_otc,call,150.0,LOSS,-150.0,60,46,60,93.0,live
1755336137,2025-08-16 14:52:17 IST,APTUSD_otc,put,100.0,LOSS,-100.0,60,17,60,93.0,live
1755340155,2025-08-16 15:59:15 IST,TRXUSD_otc,put,100.0,LOSS,-100.0,60,15,60,93.0,live
1755341405,2025-08-16 16:20:05 IST,NOTUSD_otc,put,100.0,WIN,93.0,60,5,60,93.0,live
1755341779,2025-08-16 16:26:19 IST,AUDUSD_otc,call,150.0,WIN,138.0,60,19,60,92.0,live
1755342209,2025-08-16 16:33:29 IST,EURUSD_otc,call,250.0,LOSS,-250.0,60,29,60,86.0,live
1755342879,2025-08-16 16:44:39 IST,USDJPY_otc,call,100.0,LOSS,-100.0,60,39,60,92.0,live
1755344785,2025-08-16 17:16:25 IST,AUDCAD_otc,put,100.0,LOSS,-100.0,60,25,60,90.0,live
1755344868,2025-08-16 17:17:48 IST,BCHUSD_otc,put,100.0,LOSS,-100.0,60,48,60,81.0,live
1755345169,2025-08-16 17:22:49 IST,BEAUSD_otc,put,100.0,FAIL_EXEC,0.0,60,49,60,93.0,live
1755345206,2025-08-16 17:23:26 IST,BEAUSD_otc,put,100.0,FAIL_EXEC,0.0,60,26,60,93.0,live
1755345235,2025-08-16 17:23:55 IST,BEAUSD_otc,put,100.0,FAIL_EXEC,0.0,60,55,60,93.0,live
1755345431,2025-08-16 17:27:11 IST,SHIUSD_otc,put,100.0,LOSS,-100.0,60,11,60,93.0,live
1755345865,2025-08-16 17:34:25 IST,INTC_otc,put,100.0,LOSS,-100.0,60,25,60,87.0,live
1755346796,2025-08-16 17:49:56 IST,BTCUSD_otc,call,100.0,WIN,93.0,60,56,60,88.0,live
1755346943,2025-08-16 17:52:23 IST,LINUSD_otc,put,150.0,WIN,139.5,60,23,60,93.0,live
1755347018,2025-08-16 17:53:38 IST,ARBUSD_otc,put,100.0,WIN,93.0,60,38,60,93.0,live
1755347664,2025-08-16 18:04:24 IST,USDTRY_otc,put,100.0,FAIL_EXEC,0.0,60,24,60,92.0,live
1755347743,2025-08-16 18:05:43 IST,EURUSD_otc,call,100.0,WIN,85.0,60,43,60,85.0,live
1755347816,2025-08-16 18:06:56 IST,ARBUSD_otc,put,150.0,WIN,136.5,60,56,60,91.0,live
1755347945,2025-08-16 18:09:05 IST,SOLUSD_otc,put,100.0,LOSS,-100.0,60,5,60,93.0,live
1755348094,2025-08-16 18:11:34 IST,ADAUSD_otc,call,200.0,WIN,186.0,60,34,60,93.0,live
1755348446,2025-08-16 18:17:26 IST,AUDNZD_otc,call,100.0,LOSS,-100.0,60,26,60,88.0,live
