ts_local,mode,asset,direction,note,schedule_ts,schedule_str,payout,tf_s
2025-08-16T10:24:25,live,BCHUSD_otc,put,tf=60,,,93.0,60
2025-08-16T10:24:28,live,BCHUSD_otc,put,tf=60,,,93.0,60
2025-08-16T10:24:30,live,BCHUSD_otc,put,tf=60,,,93.0,60
2025-08-16T10:24:32,live,BCHUSD_otc,put,tf=60,,,93.0,60
2025-08-16T10:24:35,live,BCHUSD_otc,put,tf=60,,,93.0,60
2025-08-16T10:25:09,live,LINUSD_otc,put,tf=60,,,93.0,60
2025-08-16T10:25:44,live,LINUSD_otc,put,tf=60,,,93.0,60
2025-08-16T10:36:20,live,FLOUSD_otc,put,tf=60,,,56.0,60
2025-08-16T10:36:34,live,FLOUSD_otc,put,tf=60,,,56.0,60
2025-08-16T10:42:19,live,LINUSD_otc,call,tf=60,,,93.0,60
2025-08-16T10:42:26,live,LINUSD_otc,call,tf=60,,,93.0,60
2025-08-16T10:42:40,live,LINUSD_otc,call,tf=60,,,93.0,60
2025-08-16T10:42:43,live,LINUSD_otc,call,tf=60,,,93.0,60
2025-08-16T10:42:56,live,LINUSD_otc,call,tf=60,,,93.0,60
2025-08-16T10:45:01,live,SHIUSD_otc,put,tf=60,,,93.0,60
2025-08-16T10:45:01,live,SHIUSD_otc,put,tf=60,,,93.0,60
2025-08-16T10:45:27,live,SHIUSD_otc,put,tf=60,,,93.0,60
2025-08-16T10:45:27,live,SHIUSD_otc,put,tf=60,,,93.0,60
2025-08-16T10:45:53,live,SHIUSD_otc,put,tf=60,,,93.0,60
2025-08-16T10:45:53,live,SHIUSD_otc,put,tf=60,,,93.0,60
2025-08-16T10:46:16,live,NOTUSD_otc,put,tf=60,,,93.0,60
2025-08-16T10:46:24,live,NOTUSD_otc,put,tf=60,,,93.0,60
2025-08-16T10:46:32,live,NOTUSD_otc,put,tf=60,,,93.0,60
2025-08-16T10:46:48,live,NOTUSD_otc,put,tf=60,,,93.0,60
2025-08-16T10:49:20,live,BCHUSD_otc,call,tf=60,,,89.0,60
2025-08-16T10:52:51,live,USDEGP_otc,put,tf=60,,,86.0,60
2025-08-16T10:58:25,live,BRLUSD_otc,call,tf=60,,,83.0,60
2025-08-16T10:58:36,live,BRLUSD_otc,call,tf=60,,,83.0,60
2025-08-16T11:14:46,live,LINUSD_otc,put,tf=60,,,93.0,60
2025-08-16T11:19:11,live,SOLUSD_otc,call,tf=60,,,86.0,60
2025-08-16T11:20:19,live,ATOUSD_otc,call,tf=60,,,76.0,60
2025-08-16T11:23:45,live,ADAUSD_otc,put,tf=60,,,91.0,60
2025-08-16T11:30:01,live,USDZAR_otc,call,tf=60,,,81.0,60
2025-08-16T11:34:42,live,JNJ_otc,call,tf=60,,,87.0,60
2025-08-16T11:34:58,live,JNJ_otc,call,tf=60,,,87.0,60
