ts_local,asset,dir,payout,confluence,ema7,ema3,ema_cross,ema7_slope,psar_pos,bears,bears_slope,candle,note
2025-08-25 20:16:21 IST,UKBrent_otc,call,90.0,1,50.63,50.64,up,0.030000000000001137,below,-0.029470483287333593,0.04331372160322644,green,confluence
2025-08-25 20:17:49 IST,AUDJPY_otc,put,92.0,1,94.87,94.85,down,-0.04000000000000625,above,0.064796278488231,-0.07654801031438296,red,confluence
2025-08-25 20:17:55 IST,AUDJPY_otc,put,92.0,1,94.87,94.85,down,-0.04000000000000625,above,0.064796278488231,-0.07654801031438296,red,confluence
2025-08-25 20:25:21 IST,USDIDR_otc,put,91.0,1,16249.6,16249.26,down,-0.6900000000005093,above,3.1652932346896705,-0.9335293790609285,red,confluence
2025-08-25 20:25:22 IST,APTUSD_otc,call,93.0,1,4.63,4.64,up,0.009999999999999787,below,-0.07975200354473433,0.013361185316472124,green,confluence
2025-08-25 20:25:24 IST,APTUSD_otc,call,93.0,1,4.63,4.64,up,0.009999999999999787,below,-0.07975200354473433,0.013361185316472124,green,confluence
2025-08-25 20:25:26 IST,APTUSD_otc,call,93.0,1,4.63,4.64,up,0.009999999999999787,below,-0.07975200354473433,0.013361185316472124,green,confluence
2025-08-25 20:25:28 IST,APTUSD_otc,call,93.0,1,4.63,4.64,up,0.009999999999999787,below,-0.07975200354473433,0.013361185316472124,green,confluence
2025-08-25 20:25:29 IST,APTUSD_otc,call,93.0,1,4.63,4.64,up,0.009999999999999787,below,-0.07975200354473433,0.013361185316472124,green,confluence
2025-08-25 20:25:34 IST,APTUSD_otc,call,93.0,1,4.63,4.64,up,0.009999999999999787,below,-0.07975200354473433,0.013361185316472124,green,confluence
2025-08-25 20:25:36 IST,APTUSD_otc,call,93.0,1,4.63,4.64,up,0.009999999999999787,below,-0.07975200354473433,0.013361185316472124,green,confluence
2025-08-25 20:25:37 IST,APTUSD_otc,call,93.0,1,4.63,4.64,up,0.009999999999999787,below,-0.07975200354473433,0.013361185316472124,green,confluence
2025-08-25 20:25:39 IST,APTUSD_otc,call,93.0,1,4.63,4.64,up,0.009999999999999787,below,-0.07975200354473433,0.013361185316472124,green,confluence
2025-08-25 20:25:41 IST,APTUSD_otc,call,93.0,1,4.63,4.64,up,0.009999999999999787,below,-0.07975200354473433,0.013361185316472124,green,confluence
2025-08-25 20:25:43 IST,APTUSD_otc,call,93.0,1,4.63,4.64,up,0.009999999999999787,below,-0.07975200354473433,0.013361185316472124,green,confluence
2025-08-25 20:25:44 IST,APTUSD_otc,call,93.0,1,4.63,4.64,up,0.009999999999999787,below,-0.07975200354473433,0.013361185316472124,green,confluence
2025-08-25 20:25:46 IST,APTUSD_otc,call,93.0,1,4.63,4.64,up,0.009999999999999787,below,-0.07975200354473433,0.013361185316472124,green,confluence
2025-08-25 20:25:48 IST,APTUSD_otc,call,93.0,1,4.63,4.64,up,0.009999999999999787,below,-0.07975200354473433,0.013361185316472124,green,confluence
2025-08-25 20:25:49 IST,APTUSD_otc,call,93.0,1,4.63,4.64,up,0.009999999999999787,below,-0.07975200354473433,0.013361185316472124,green,confluence
2025-08-25 20:25:51 IST,APTUSD_otc,call,93.0,1,4.63,4.64,up,0.009999999999999787,below,-0.07975200354473433,0.013361185316472124,green,confluence
2025-08-25 20:25:53 IST,APTUSD_otc,call,93.0,1,4.63,4.64,up,0.009999999999999787,below,-0.07975200354473433,0.013361185316472124,green,confluence
2025-08-25 20:25:55 IST,APTUSD_otc,call,93.0,1,4.63,4.64,up,0.009999999999999787,below,-0.07975200354473433,0.013361185316472124,green,confluence
2025-08-25 20:25:57 IST,APTUSD_otc,call,93.0,1,4.63,4.64,up,0.009999999999999787,below,-0.07975200354473433,0.013361185316472124,green,confluence
2025-08-25 20:25:58 IST,APTUSD_otc,call,93.0,1,4.63,4.64,up,0.009999999999999787,below,-0.07975200354473433,0.013361185316472124,green,confluence
2025-08-25 20:26:41 IST,GBPJPY_otc,call,90.0,1,199.69,199.7,up,0.030000000000001137,below,-0.01856159523254064,0.026465244267853905,green,confluence
2025-08-25 20:31:20 IST,TRUUSD_otc,put,93.0,1,11.98,11.97,down,-0.02999999999999936,above,-0.00546569257842755,-0.007797566941540879,red,confluence
2025-08-25 20:50:35 IST,DASUSD_otc,put,93.0,1,23.11,23.1,down,-0.019999999999999574,above,0.06655054353863221,-0.043650020131060785,red,confluence
2025-08-25 20:51:40 IST,AUDCAD_otc,call,90.0,1,0.91,0.92,up,0.010000000000000009,below,0.0012675484963374783,0.0002360167223579568,green,confluence
2025-08-25 20:51:44 IST,AUDCAD_otc,call,90.0,1,0.91,0.92,up,0.010000000000000009,below,0.0012675484963374783,0.0002360167223579568,green,confluence
2025-08-25 20:51:46 IST,AUDCAD_otc,call,90.0,1,0.91,0.92,up,0.010000000000000009,below,0.0012675484963374783,0.0002360167223579568,green,confluence
2025-08-25 20:51:50 IST,AUDCAD_otc,call,90.0,1,0.91,0.92,up,0.010000000000000009,below,0.0012675484963374783,0.0002360167223579568,green,confluence
2025-08-25 20:51:53 IST,AUDCAD_otc,call,90.0,1,0.91,0.92,up,0.010000000000000009,below,0.0012675484963374783,0.0002360167223579568,green,confluence
2025-08-25 20:51:57 IST,AUDCAD_otc,call,90.0,1,0.91,0.92,up,0.010000000000000009,below,0.0012675484963374783,0.0002360167223579568,green,confluence
2025-08-25 20:53:42 IST,CADJPY_otc,call,90.0,1,105.7,105.71,up,0.029999999999986926,below,-0.16529428851383443,0.06527015883384024,green,confluence
2025-08-25 20:53:59 IST,CADJPY_otc,call,90.0,1,105.7,105.71,up,0.029999999999986926,below,-0.16529428851383443,0.06527015883384024,green,confluence
2025-08-25 20:54:02 IST,APTUSD_otc,call,91.0,1,4.59,4.6,up,0.009999999999999787,below,-0.04905224001887021,0.011520453334031622,green,confluence
2025-08-25 20:56:23 IST,USDJPY_otc,put,92.0,1,146.06,146.04,down,-0.040000000000020464,above,-0.006364972213532383,-0.048208704732843444,red,confluence
2025-08-25 20:57:20 IST,LTCUSD_otc,put,93.0,1,123.0,122.83,down,-0.4000000000000057,above,0.26452675066435916,-0.46979728706163826,red,confluence
2025-08-25 20:59:09 IST,GBPJPY_otc,put,90.0,1,200.1,200.08,down,-0.03999999999999204,above,0.13806115511710004,-0.062113376115462415,red,confluence
2025-08-25 20:59:54 IST,GBPJPY_otc,put,90.0,1,200.1,200.08,down,-0.03999999999999204,above,0.13806115511710004,-0.062113376115462415,red,confluence
2025-08-25 21:00:17 IST,ETHUSD_otc,put,93.0,1,4691.61,4691.11,down,-1.0,above,-0.4284492472934289,-1.3741315093593585,red,confluence
2025-08-25 21:08:33 IST,XRPUSD_otc,call,93.0,1,2.76,2.77,up,0.010000000000000231,below,-0.010865910581990157,0.005443181873407088,green,confluence
2025-08-25 21:09:46 IST,AVAUSD_otc,put,93.0,1,23.98,23.97,down,-0.019999999999999574,above,-0.035286803192938976,-0.012841229511373342,red,confluence
2025-08-25 21:12:15 IST,XRPUSD_otc,put,93.0,1,2.76,2.75,down,-0.009999999999999787,above,-0.030785103409425307,-0.01067462579965106,red,confluence
2025-08-25 21:13:46 IST,CADJPY_otc,call,90.0,1,105.55,105.57,up,0.04999999999999716,below,-0.18246651001224734,0.025202463333783953,green,confluence
2025-08-25 21:14:45 IST,TONUSD_otc,put,93.0,1,3.99,3.98,down,-0.020000000000000018,above,0.04094053595601199,-0.02662742725763012,red,confluence
2025-08-25 21:16:27 IST,LINUSD_otc,put,93.0,1,24.31,24.3,down,-0.019999999999999574,above,-0.2127526195787155,-0.01512027334893773,red,confluence
2025-08-25 21:17:38 IST,AVAUSD_otc,call,93.0,1,23.95,23.96,up,0.010000000000001563,below,-0.020717975407276157,0.01624881390397448,green,confluence
2025-08-25 21:18:56 IST,DASUSD_otc,put,93.0,1,23.13,23.12,down,-0.019999999999999574,above,-0.00467589428734172,-0.02608607798935836,red,confluence
2025-08-25 21:21:09 IST,TONUSD_otc,put,93.0,1,3.94,3.93,down,-0.020000000000000018,above,-0.015533079199921751,-0.03668396002963226,red,confluence
