ts_local,asset,direction,timeframe_min,trade_time,forecast_pct,payout_pct,trade_epoch,seconds_until_entry,ignored,reason,raw
2025-08-28 14:02:03,EURCAD-OTC,put,1,05:33:00,,,1756425780,55851,0,ok,💳 EURCAD-OTC | 🔥 M1 | ⌛ 05:33:00 | 🔽 put
2025-08-28 14:23:17,USDBDT-OTC,call,1,05:55:00,,,1756371300,97,0,ok,💳 USDBDT-OTC | 🔥 M1 | ⌛ 05:55:00 | 🔼 call
2025-08-28 14:31:23,CHFJPY-OTC,call,1,06:03:00,,,1756371780,91,0,ok,💳 CHFJPY-OTC | 🔥 M1 | ⌛ 06:03:00 | 🔼 call
2025-08-28 14:47:26,GBPCHF-OTC,call,1,06:19:00,,,1756372740,88,0,ok,💳 GBPCHF-OTC | 🔥 M1 | ⌛ 06:19:00 | 🔼 call
2025-08-28 14:55:45,NZDJPY-OTC,put,1,06:27:00,,,1756373220,69,0,ok,💳 NZDJPY-OTC | 🔥 M1 | ⌛ 06:27:00 | 🔽 put
2025-08-28 15:05:09,GBPJPY,put,1,06:37:00,,,1756373820,105,0,ok,💳 GBPJPY | 🔥 M1 | ⌛ 06:37:00 | 🔽 put
2025-08-28 15:42:17,NZDCAD-OTC,call,1,07:14:00,,,1756376040,97,0,ok,💳 NZDCAD-OTC | 🔥 M1 | ⌛ 07:14:00 | 🔼 call
2025-08-28 15:53:06,GBPNZD_otc,put,1,07:24:00,,,1756376640,48,0,ok,💳 GBPNZD-OTC | 🔥 M1 | ⌛ 07:24:00 | 🔽 put
2025-08-28 15:59:06,BRLUSD_otc,put,1,07:31:00,,,1756377060,108,0,ok,💳 BRLUSD-OTC | 🔥 M1 | ⌛ 07:31:00 | 🔽 put
2025-08-28 16:53:38,USDINR_otc,call,1,08:25:00,,,1756380300,76,0,ok,💳 USDINR-OTC | 🔥 M1 | ⌛ 08:25:00 | 🔼 call
2025-08-28 16:58:38,USDIDR_otc,call,1,08:30:00,,,1756380600,76,0,ok,💳 USDIDR-OTC | 🔥 M1 | ⌛ 08:30:00 | 🔼 call
2025-08-28 17:11:14,NZDJPY_otc,call,1,08:43:00,,,1756381380,100,0,ok,💳 NZDJPY-OTC | 🔥 M1 | ⌛ 08:43:00 | 🔼 call
2025-08-28 17:16:53,USDPKR_otc,put,1,08:48:00,,,1756381680,61,0,ok,💳 USDPKR-OTC | 🔥 M1 | ⌛ 08:48:00 | 🔽 put
2025-08-28 17:27:53,USDARS_otc,call,1,08:59:00,,,1756382340,61,0,ok,💳 USDARS-OTC | 🔥 M1 | ⌛ 08:59:00 | 🔼 call
2025-08-28 17:30:34,USDEGP_otc,put,1,08:59:00,,,1756468740,86300,0,ok,💳 USDEGP-OTC | 🔥 M1 | ⌛ 08:59:00 | 🔽 put
2025-08-28 17:42:25,CADCHF_otc,call,1,09:14:00,,,1756383240,89,0,ok,💳 CADCHF-OTC | 🔥 M1 | ⌛ 09:14:00 | 🔼 call
2025-08-28 17:48:25,GBPUSD,put,1,09:20:00,,,1756383600,89,0,ok,💳 GBPUSD | 🔥 M1 | ⌛ 09:20:00 | 🔽 put
2025-08-28 17:53:25,GBPAUD,put,1,09:25:00,,,1756383900,89,0,ok,💳 GBPAUD | 🔥 M1 | ⌛ 09:25:00 | 🔽 put
2025-08-28 17:58:25,EURJPY,call,1,09:30:00,,,1756384200,89,0,ok,💳 EURJPY | 🔥 M1 | ⌛ 09:30:00 | 🔼 call
2025-08-28 18:13:26,EURCAD,call,1,09:45:00,,,1756385100,88,0,ok,💳 EURCAD | 🔥 M1 | ⌛ 09:45:00 | 🔼 call
2025-08-28 18:26:51,NZDCHF_otc,call,1,09:58:00,,,1756385880,63,0,ok,💳 NZDCHF-OTC | 🔥 M1 | ⌛ 09:58:00 | 🔼 call
2025-08-28 18:49:31,EURNZD_otc,call,1,10:21:00,,,1756387260,83,0,ok,💳 EURNZD-OTC | 🔥 M1 | ⌛ 10:21:00 | 🔼 call
2025-08-28 18:54:56,CADCHF_otc,call,1,10:26:00,,,1756387560,58,0,ok,💳 CADCHF-OTC | 🔥 M1 | ⌛ 10:26:00 | 🔼 call
2025-08-28 19:05:16,AUDNZD_otc,put,1,10:37:00,,,1756388220,98,0,ok,💳 AUDNZD-OTC | 🔥 M1 | ⌛ 10:37:00 | 🔽 put
2025-08-28 19:10:56,NZDCHF_otc,call,1,10:42:00,,,1756388520,58,0,ok,💳 NZDCHF-OTC | 🔥 M1 | ⌛ 10:42:00 | 🔼 call
2025-08-28 19:15:31,EURGBP,call,1,10:47:00,,,1756388820,83,0,ok,💳 EURGBP | 🔥 M1 | ⌛ 10:47:00 | 🔼 call
2025-08-28 19:35:32,AUDCAD,call,1,11:07:00,,,1756390020,82,0,ok,💳 AUDCAD | 🔥 M1 | ⌛ 11:07:00 | 🔼 call
2025-08-28 19:46:14,AUDCHF,put,1,11:18:00,,,1756390680,100,0,ok,💳 AUDCHF | 🔥 M1 | ⌛ 11:18:00 | 🔽 put
2025-08-28 20:33:11,EURCAD,put,1,12:05:00,,,1756393500,103,0,ok,💳 EURCAD | 🔥 M1 | ⌛ 12:05:00 | 🔽 put
2025-08-28 20:40:05,AUDNZD_otc,put,1,12:12:00,,,1756393920,109,0,ok,💳 AUDNZD-OTC | 🔥 M1 | ⌛ 12:12:00 | 🔽 put
2025-08-28 20:46:17,EURCHF,put,1,12:17:00,,,1756394220,37,0,ok,💳 EURCHF | 🔥 M1 | ⌛ 12:17:00 | 🔽 put
2025-08-28 20:54:13,CADCHF_otc,put,1,12:26:00,,,1756394760,101,0,ok,💳 CADCHF-OTC | 🔥 M1 | ⌛ 12:26:00 | 🔽 put
2025-08-28 20:59:17,USDCAD,put,1,12:31:00,,,1756395060,97,0,ok,💳 USDCAD | 🔥 M1 | ⌛ 12:31:00 | 🔽 put
2025-08-28 21:08:10,GBPCHF,call,1,12:40:00,,,1756395600,104,0,ok,💳 GBPCHF | 🔥 M1 | ⌛ 12:40:00 | 🔼 call
2025-08-28 21:26:30,NZDCAD_otc,put,1,12:58:00,,,1756396680,84,0,ok,💳 NZDCAD-OTC | 🔥 M1 | ⌛ 12:58:00 | 🔽 put
2025-08-28 21:36:11,EURJPY,call,1,13:08:00,,,1756397280,103,0,ok,💳 EURJPY | 🔥 M1 | ⌛ 13:08:00 | 🔼 call
2025-08-28 21:46:08,NZDCAD_otc,call,1,13:18:00,,,1756397880,106,0,ok,💳 NZDCAD-OTC | 🔥 M1 | ⌛ 13:18:00 | 🔼 call
2025-08-28 22:20:52,USDTRY_otc,put,1,13:52:00,,,1756399920,62,0,ok,💳 USDTRY-OTC | 🔥 M1 | ⌛ 13:52:00 | 🔽 put
2025-08-28 22:27:42,USDPKR_otc,call,1,13:59:00,,,1756400340,72,0,ok,💳 USDPKR-OTC | 🔥 M1 | ⌛ 13:59:00 | 🔼 call
2025-08-28 22:41:52,CADCHF_otc,put,1,14:13:00,,,1756401180,62,0,ok,💳 CADCHF-OTC | 🔥 M1 | ⌛ 14:13:00 | 🔽 put
2025-08-28 22:46:52,USDTRY_otc,put,1,14:18:00,,,1756401480,62,0,ok,💳 USDTRY-OTC | 🔥 M1 | ⌛ 14:18:00 | 🔽 put
2025-08-28 22:51:52,USDINR_otc,call,1,14:23:00,,,1756401780,62,0,ok,💳 USDINR-OTC | 🔥 M1 | ⌛ 14:23:00 | 🔼 call
2025-08-28 23:00:52,AUDNZD_otc,call,1,14:32:00,,,1756402320,62,0,ok,💳 AUDNZD-OTC | 🔥 M1 | ⌛ 14:32:00 | 🔼 call
2025-08-28 23:55:10,CADCHF_otc,put,1,15:27:00,,,1756405620,104,0,ok,💳 CADCHF-OTC | 🔥 M1 | ⌛ 15:27:00 | 🔽 put
2025-08-29 08:01:09,USDEGP_otc,call,1,23:33:00,,,1756434780,105,0,ok,💳 USDEGP-OTC | 🔥 M1 | ⌛ 23:33:00 | 🔼 call
2025-08-29 08:17:24,USDARS_otc,call,1,23:49:00,,,1756435740,90,0,ok,💳 USDARS-OTC | 🔥 M1 | ⌛ 23:49:00 | 🔼 call
2025-08-29 08:25:59,USDCOP_otc,call,1,23:57:00,,,1756436220,55,0,ok,💳 USDCOP-OTC | 🔥 M1 | ⌛ 23:57:00 | 🔼 call
2025-08-29 08:45:11,USDPKR_otc,put,1,00:17:00,,,1756437420,103,0,ok,💳 USDPKR-OTC | 🔥 M1 | ⌛ 00:17:00 | 🔽 put
2025-08-29 09:08:18,EURAUD_otc,put,1,00:40:00,,,1756438800,96,0,ok,💳 EURAUD-OTC | 🔥 M1 | ⌛ 00:40:00 | 🔽 put
2025-08-29 09:18:32,NZDUSD_otc,put,1,00:50:00,,,1756439400,82,0,ok,💳 NZDUSD-OTC | 🔥 M1 | ⌛ 00:50:00 | 🔽 put
2025-08-29 09:24:12,NZDCAD_otc,put,1,00:56:00,,,1756439760,102,0,ok,💳 NZDCAD-OTC | 🔥 M1 | ⌛ 00:56:00 | 🔽 put
2025-08-29 09:31:13,AUDNZD_otc,call,1,01:03:00,,,1756440180,101,0,ok,💳 AUDNZD-OTC | 🔥 M1 | ⌛ 01:03:00 | 🔼 call
2025-08-29 09:37:15,USDBDT_otc,put,1,01:09:00,,,1756440540,99,0,ok,💳 USDBDT-OTC | 🔥 M1 | ⌛ 01:09:00 | 🔽 put
2025-08-29 09:42:14,NZDJPY_otc,put,1,01:14:00,,,1756440840,100,0,ok,💳 NZDJPY-OTC | 🔥 M1 | ⌛ 01:14:00 | 🔽 put
2025-08-29 09:53:13,NZDCHF_otc,put,1,01:25:00,,,1756441500,101,0,ok,💳 NZDCHF-OTC | 🔥 M1 | ⌛ 01:25:00 | 🔽 put
2025-08-29 10:00:23,USDEGP_otc,put,1,01:32:00,,,1756441920,91,0,ok,💳 USDEGP-OTC | 🔥 M1 | ⌛ 01:32:00 | 🔽 put
2025-08-29 10:20:14,EURAUD_otc,put,1,01:52:00,,,1756443120,100,0,ok,💳 EURAUD-OTC | 🔥 M1 | ⌛ 01:52:00 | 🔽 put
2025-08-29 10:26:35,NZDJPY_otc,put,1,01:58:00,,,1756443480,79,0,ok,💳 NZDJPY-OTC | 🔥 M1 | ⌛ 01:58:00 | 🔽 put
2025-08-29 10:33:20,USDPKR_otc,put,1,02:05:00,,,1756443900,94,0,ok,💳 USDPKR-OTC | 🔥 M1 | ⌛ 02:05:00 | 🔽 put
2025-08-29 10:38:35,EURAUD_otc,call,1,02:10:00,,,1756444200,79,0,ok,💳 EURAUD-OTC | 🔥 M1 | ⌛ 02:10:00 | 🔼 call
2025-08-29 10:43:36,CHFJPY_otc,put,1,02:15:00,,,1756444500,78,0,ok,💳 CHFJPY-OTC | 🔥 M1 | ⌛ 02:15:00 | 🔽 put
2025-08-29 10:49:27,CADCHF_otc,put,1,02:21:00,,,1756444860,87,0,ok,💳 CADCHF-OTC | 🔥 M1 | ⌛ 02:21:00 | 🔽 put
2025-08-29 10:57:16,USDIDR_otc,call,1,02:29:00,,,1756445340,98,0,ok,💳 USDIDR-OTC | 🔥 M1 | ⌛ 02:29:00 | 🔼 call
2025-08-29 11:02:20,NZDUSD_otc,put,1,02:34:00,,,1756445640,94,0,ok,💳 NZDUSD-OTC | 🔥 M1 | ⌛ 02:34:00 | 🔽 put
